iter	Passed	Remaining
700	6165	2629
701	6174	2621
702	6183	2612
703	6191	2603
704	6200	2594
705	6209	2585
706	6217	2576
707	6227	2568
708	6236	2559
709	6244	2550
710	6253	2541
711	6262	2533
712	6271	2524
713	6280	2515
714	6289	2506
715	6298	2498
716	6307	2489
717	6315	2480
718	6324	2471
719	6333	2463
720	6342	2454
721	6351	2445
722	6360	2436
723	6369	2428
724	6378	2419
725	6386	2410
726	6395	2401
727	6404	2392
728	6413	2384
729	6422	2375
730	6430	2366
731	6439	2357
732	6448	2348
733	6457	2340
734	6466	2331
735	6475	2322
736	6484	2313
737	6493	2305
738	6502	2296
739	6510	2287
740	6519	2278
741	6527	2269
742	6536	2260
743	6544	2252
744	6553	2243
745	6562	2234
746	6571	2225
747	6580	2216
748	6589	2208
749	6598	2199
750	6606	2190
751	6615	2181
752	6623	2172
753	6632	2163
754	6641	2155
755	6649	2146
756	6657	2137
757	6666	2128
758	6675	2119
759	6684	2110
760	6692	2101
761	6701	2093
762	6710	2084
763	6719	2075
764	6727	2066
765	6736	2057
766	6744	2048
767	6753	2040
768	6762	2031
769	6771	2022
770	6780	2013
771	6789	2005
772	6798	1996
773	6807	1987
774	6816	1978
775	6824	1970
776	6833	1961
777	6842	1952
778	6851	1943
779	6859	1934
780	6868	1926
781	6877	1917
782	6886	1908
783	6895	1899
784	6904	1890
785	6912	1882
786	6921	1873
787	6930	1864
788	6938	1855
789	6947	1846
790	6955	1837
791	6964	1829
792	6972	1820
793	6981	1811
794	6990	1802
795	6999	1793
796	7007	1784
797	7016	1776
798	7024	1767
799	7033	1758
800	7041	1749
801	7050	1740
802	7058	1731
803	7068	1723
804	7077	1714
805	7086	1705
806	7095	1696
807	7103	1688
808	7112	1679
809	7121	1670
810	7130	1661
811	7138	1652
812	7147	1643
813	7155	1635
814	7164	1626
815	7173	1617
816	7182	1608
817	7191	1600
818	7200	1591
819	7209	1582
820	7218	1573
821	7226	1564
822	7235	1556
823	7243	1547
824	7252	1538
825	7261	1529
826	7270	1520
827	7279	1512
828	7287	1503
829	7296	1494
830	7305	1485
831	7314	1476
832	7323	1468
833	7331	1459
834	7340	1450
835	7348	1441
836	7357	1432
837	7367	1424
838	7376	1415
839	7384	1406
